symbol;weight;center_of_mass;moment_of_inertia;normalized_moment_of_inertia
р;0.10185185185185185;(1.072310405643739, 3.9616402116402116);(303431.7764182831, 31441.897445946797);(133.78826120735587, 13.86327047881252)
с;0.06580493537015276;(0.6028202115158637, 2.4212690951821387);(138117.50504901275, 11409.712853199591);(81.15012047533064, 6.7037090794357175)
т;0.06823671497584541;(0.7469806763285024, 2.2681159420289854);(115073.2245851711, 13546.021561544616);(69.48866218911299, 8.179964711077666)
у;0.056070435588507876;(0.5866543095458758, 2.0486561631139946);(155106.61824678045, 15286.235044977804);(71.875170642623, 7.083519483307602)
ұ;0.09314179796107507;(1.0829471733086191, 3.809545875810936);(296303.4873056779, 28101.032602571046);(137.30467437705187, 13.021794533165451)
ү;0.07460611677479147;(0.8512511584800742, 2.9661723818350323);(236646.56792214862, 21376.168437849203);(109.66013342082883, 9.905546078706767)
ф;0.08914493632504548;(1.460278956943602, 3.1788963007883564);(345807.8845822725, 83011.5229885542);(104.85381582239918, 25.170261670271135)
х;0.06997863247863248;(0.8493589743589743, 2.4775641025641026);(149526.2358131987, 20685.54325895792);(79.87512596858905, 11.049969689614274)
һ;0.09660107334525939;(1.1381932021466905, 3.1350626118067977);(206365.40357973776, 34073.42109440258);(92.29221984782548, 15.238560417890243)
ц;0.09294871794871795;(1.320054945054945, 3.39010989010989);(233454.30029585844, 44117.29983357987);(106.89299464096082, 20.200228861529244)
ч;0.07692307692307693;(1.061431623931624, 2.5710470085470085);(143483.9822074296, 29527.106467784313);(76.6474263928577, 15.773026959286492)
ш;0.10069444444444445;(1.9555555555555555, 3.655902777777778);(325033.0305905178, 119693.63950617296);(112.85869117726313, 41.560291495198946)
щ;0.09391025641025641;(1.8403846153846153, 3.4201923076923078);(335298.686387759, 124503.41862795866);(107.4675276883843, 39.90494186793547)
ъ;0.08590534979423868;(1.0576131687242798, 3.1049382716049383);(190009.1723441549, 26645.891767853806);(97.74134379843359, 13.706734448484468)
ы;0.0869047619047619;(1.471825396825397, 3.170238095238095);(253455.97541241502, 72905.41233607332);(100.57776802079961, 28.930719180981477)
і;0.06976744186046512;(0.4833887043189369, 2.4335548172757475);(95442.83265085377, 3668.9633778876646);(79.27145569007789, 3.0473117756542063)
ь;0.0787037037037037;(0.7974537037037037, 2.9108796296296298);(163792.90887560017, 15992.7044002915);(94.78756300671306, 9.25503726868721)
э;0.060196560196560195;(0.855036855036855, 2.092137592137592);(108315.30861339348, 19029.224021877566);(66.5327448485218, 11.688712544150839)
ю;0.08281358281358281;(1.4733194733194732, 2.9327789327789326);(262077.60317810162, 91137.68139353186);(90.80998031119252, 31.579238182096972)
я;0.09333333333333334;(1.1233333333333333, 3.315);(181925.97979999974, 24795.23546666668);(101.06998877777764, 13.775130814814823)
symbol;weight;center_of_mass;moment_of_inertia;normalized_moment_of_inertia
